NoOfBedrooms,NoOfBathrooms,NoOfFloors,FlatArea,LotArea,BasementArea,AreaOfTheHouseFromBasement,LivingAreaAfterRenovation,LotAreaAfterRenovation,AgeOfHouse,ConditionOfTheHouse,OverallGrade,SalePrice
3,1.75,1.0,1960.0,15681.0,0,1960.0,1750.0,15616,51,Fair,7,247500.0
4,1.5,1.0,1160.0,6400.0,0,1160.0,1160.0,6400,43,Good,7,199000.0
3,1.75,1.0,1810.0,41800.0,600,1210.0,1650.0,135036,38,Excellent,7,314000.0
3,2.5,2.0,2320.0,36847.0,0,2320.0,2550.0,35065,26,Fair,9,437500.0
3,2.5,1.5,2070.0,13241.0,800,1270.0,2200.0,4500,108,Excellent,9,850830.0
3,2.0,1.5,1980.0,3478.0,540,1440.0,1610.0,3478,89,Good,7,555000.0
3,2.25,2.0,2190.0,107593.0,0,2190.0,2570.0,47777,35,Good,8,699950.0
3,2.5,2.0,2920.0,8113.0,0,2920.0,2370.0,8113,68,Fair,8,1090000.0
3,1.0,1.0,1210.0,33919.0,0,1210.0,1640.0,14910,64,Fair,7,290000.0
3,2.5,1.0,2340.0,10005.0,880,1460.0,2250.0,8162,40,Good,8,375000.0
3,1.0,1.5,1670.0,4005.0,500,1170.0,1240.0,4005,79,Good,7,460000.0
2,1.75,1.0,1240.0,2493.0,0,1240.0,1270.0,4966,33,Good,8,188500.0
4,2.5,2.0,3140.0,28037.0,0,3140.0,2990.0,35001,27,Good,10,680000.0
5,1.75,2.0,2030.0,12342.0,0,2030.0,2500.0,9433,76,Good,7,470000.0
4,2.5,2.0,2310.0,9624.0,0,2310.0,1940.0,9636,34,Fair,8,597750.0
3,1.75,1.0,1260.0,3328.0,560,700.0,1380.0,3536,113,Excellent,6,570000.0
3,1.75,1.0,1540.0,12600.0,380,1160.0,1540.0,11656,38,Good,7,272500.0
3,1.75,1.0,2080.0,5969.0,1000,1080.0,2090.0,5500,47,Fair,7,329950.0
4,2.5,2.0,3230.0,16171.0,710,2520.0,2640.0,8517,17,Fair,9,480000.0
3,3.5,2.0,4380.0,6350.0,1600,2780.0,1830.0,6350,118,Fair,8,740500.0
3,3.5,3.0,1590.0,1102.0,0,1590.0,1620.0,3166,8,Fair,8,518500.0
2,1.0,1.0,880.0,6780.0,0,880.0,1190.0,6780,73,Good,6,205425.0
4,2.0,1.0,1570.0,9600.0,0,1570.0,1880.0,9000,68,Fair,6,171800.0
4,1.0,1.5,1610.0,2982.0,0,1610.0,1610.0,4040,93,Good,7,535000.0
3,2.5,1.0,2400.0,6474.0,840,1560.0,2340.0,10856,54,Fair,8,660000.0
3,2.0,1.0,1450.0,9132.0,0,1450.0,1580.0,9104,31,Fair,7,391500.0
2,1.0,1.0,770.0,6000.0,0,770.0,1710.0,6000,65,Fair,6,395000.0
4,1.75,1.5,2100.0,4400.0,380,1720.0,1850.0,4400,94,Excellent,7,445000.0
3,2.25,2.0,2910.0,10204.0,0,2910.0,2700.0,13992,28,Fair,9,770000.0
4,2.75,1.5,2750.0,17789.0,770,1980.0,3060.0,11275,104,Fair,8,1450000.0
3,2.25,1.0,2100.0,8201.0,480,1620.0,2660.0,8712,51,Fair,8,445000.0
4,2.25,1.0,2160.0,8811.0,800,1360.0,2090.0,8400,40,Fair,8,260000.0
5,3.5,2.0,2320.0,4960.0,600,1720.0,1700.0,4960,92,Excellent,7,822500.0
4,2.5,2.0,2070.0,4310.0,0,2070.0,1970.0,3748,14,Fair,7,430000.0
3,1.75,1.0,1060.0,7875.0,0,1060.0,1420.0,7680,32,Good,7,212000.0
4,2.25,1.0,2010.0,9603.0,570,1440.0,2060.0,9793,32,Fair,8,660500.0
3,3.5,1.5,3950.0,111078.0,1490,2460.0,2480.0,88500,29,Fair,9,784000.0
3,2.5,2.0,2010.0,2287.0,620,1390.0,1690.0,1662,4,Fair,8,453246.0
4,3.5,3.0,2140.0,2278.0,0,2140.0,1540.0,2285,13,Fair,9,675000.0
3,1.75,1.0,1320.0,17390.0,0,1320.0,1550.0,19265,62,Good,7,199000.0
4,1.75,1.0,2020.0,7840.0,1010,1010.0,1750.0,8140,50,Fair,7,220000.0
4,2.25,1.0,2590.0,10002.0,1250,1340.0,1550.0,10436,50,Good,8,452000.0
2,1.0,1.0,1190.0,4440.0,0,1190.0,1060.0,5715,37,Fair,6,382500.0
3,2.25,3.0,1170.0,1249.0,0,1170.0,1350.0,1310,4,Fair,8,519950.0
2,1.0,1.0,1110.0,3200.0,0,1110.0,1170.0,3600,93,Fair,7,665000.0
5,2.5,1.0,2820.0,9375.0,1270,1550.0,2820.0,9375,50,Good,8,527700.0
3,1.0,1.0,1610.0,8579.0,600,1010.0,1610.0,8579,56,Good,7,205000.0
3,1.0,1.0,1060.0,8097.0,120,940.0,1560.0,7940,95,Good,7,420000.0
4,2.25,1.0,2030.0,8517.0,650,1380.0,2230.0,8824,57,Good,8,500000.0
4,2.5,2.0,3670.0,315374.0,0,3670.0,2840.0,87991,24,Good,9,921500.0
4,1.0,2.0,2550.0,4000.0,180,2370.0,2200.0,4000,113,Fair,8,890000.0
2,2.5,2.0,2420.0,60984.0,0,2420.0,1940.0,193842,11,Fair,7,430000.0
5,2.0,1.0,2260.0,12500.0,1130,1130.0,1360.0,18000,58,Good,8,258000.0
3,1.0,1.0,1430.0,3455.0,450,980.0,1450.0,4599,71,Fair,7,511000.0
3,2.0,2.0,1360.0,3090.0,0,1360.0,1500.0,3090,28,Fair,8,532170.0
3,1.0,1.5,1110.0,5000.0,0,1110.0,1420.0,5000,71,Fair,7,560000.0
3,1.0,1.0,1250.0,8200.0,0,1250.0,1680.0,8633,64,Good,7,282950.0
4,3.25,2.0,5180.0,19850.0,1640,3540.0,3160.0,9750,12,Fair,10,2250000.0
1,1.0,1.0,700.0,5100.0,0,700.0,1010.0,5100,76,Fair,7,350000.0
3,1.0,1.0,1180.0,7669.0,0,1180.0,1190.0,7669,51,Good,7,215000.0
5,3.5,2.0,3960.0,25245.0,1460,2500.0,2640.0,13675,22,Fair,9,650000.0
4,2.75,1.0,2640.0,7500.0,1020,1620.0,1980.0,7875,51,Fair,8,320000.0
3,2.0,1.5,1270.0,7198.0,0,1270.0,1160.0,7198,102,Fair,7,247000.0
4,1.75,1.0,1760.0,11180.0,0,1760.0,1730.0,11180,50,Good,8,320000.0
5,2.25,1.0,2060.0,8632.0,1030,1030.0,1010.0,11680,56,Fair,7,255000.0
3,1.75,1.0,1780.0,9660.0,0,1780.0,1200.0,9660,56,Fair,7,438000.0
3,2.5,2.0,3400.0,16603.0,0,3400.0,3400.0,12601,18,Fair,10,900000.0
3,2.75,1.0,1910.0,7280.0,750,1160.0,1710.0,8152,39,Fair,7,441000.0
3,2.0,1.0,2020.0,38332.0,1010,1010.0,2110.0,36590,43,Good,7,420000.0
3,1.75,1.0,1580.0,7000.0,400,1180.0,1640.0,7500,42,Fair,7,370000.0
2,1.75,1.0,1340.0,7250.0,640,700.0,1830.0,9750,69,Excellent,5,269950.0
4,2.5,2.0,2680.0,4499.0,0,2680.0,2920.0,4500,19,Fair,9,807100.0
3,2.0,1.0,1370.0,8336.0,0,1370.0,1770.0,7288,54,Excellent,7,371500.0
3,1.75,1.0,1560.0,21000.0,0,1560.0,1070.0,7920,64,Fair,7,284000.0
3,1.75,1.0,2160.0,7140.0,490,1670.0,1930.0,7350,40,Good,7,272000.0
3,1.5,1.5,1340.0,7912.0,0,1340.0,1480.0,7940,63,Fair,7,313000.0
4,2.5,2.0,3880.0,35003.0,1310,2570.0,3740.0,35230,34,Fair,10,917500.0
4,2.25,2.0,2590.0,8190.0,0,2590.0,2260.0,8335,38,Good,8,673000.0
3,2.5,2.0,1120.0,1100.0,300,820.0,1590.0,1795,10,Fair,8,425000.0
5,2.75,1.0,1970.0,5400.0,650,1320.0,1280.0,2150,32,Fair,7,399950.0
3,1.0,1.0,1220.0,4800.0,0,1220.0,1200.0,4800,117,Fair,6,385000.0
3,1.5,1.0,1950.0,7560.0,630,1320.0,1950.0,8941,43,Good,7,269950.0
2,1.0,1.0,1350.0,8220.0,290,1060.0,1540.0,8280,69,Fair,7,330000.0
3,2.5,2.0,1670.0,5797.0,0,1670.0,1670.0,6183,30,Fair,7,260000.0
4,3.0,1.5,2380.0,5125.0,700,1680.0,1410.0,5375,93,Good,7,470000.0
4,3.0,2.0,2440.0,9600.0,0,2440.0,2290.0,9600,57,Excellent,7,589000.0
2,1.5,2.0,1050.0,3419.0,0,1050.0,1050.0,3417,22,Fair,7,163500.0
4,2.75,2.0,3130.0,13412.0,990,2140.0,2260.0,9984,25,Fair,9,835000.0
5,3.0,1.0,4090.0,12850.0,2000,2090.0,2540.0,10270,32,Good,10,1100000.0
4,1.75,1.0,1490.0,10000.0,390,1100.0,2190.0,8910,49,Good,8,269000.0
3,2.5,2.0,1900.0,8744.0,0,1900.0,2030.0,8744,31,Fair,8,560000.0
4,1.0,1.5,1330.0,2400.0,0,1330.0,1330.0,4400,117,Good,6,615000.0
3,2.25,1.0,2230.0,10026.0,800,1430.0,2230.0,9340,43,Fair,8,585188.0
3,1.75,1.0,1650.0,9480.0,430,1220.0,1540.0,8400,41,Fair,7,305000.0
3,1.0,1.0,1190.0,8820.0,0,1190.0,1230.0,7980,59,Fair,6,166950.0
3,2.5,1.0,2140.0,9897.0,0,2140.0,2680.0,10083,59,Good,8,799000.0
3,2.5,1.0,2180.0,7508.0,760,1420.0,1900.0,7818,56,Good,7,400000.0
3,1.0,1.0,1060.0,10228.0,0,1060.0,1570.0,10228,70,Fair,7,230000.0
3,2.5,2.0,1690.0,5025.0,0,1690.0,2550.0,5001,15,Fair,8,256883.0
4,2.0,1.5,1970.0,6480.0,840,1130.0,1500.0,6480,98,Excellent,7,423000.0
3,2.5,2.0,2150.0,4084.0,0,2150.0,1750.0,2385,11,Fair,8,465000.0
3,2.5,2.0,1910.0,66211.0,0,1910.0,2330.0,67268,21,Fair,7,440000.0
3,1.75,1.0,1350.0,155073.0,0,1350.0,1560.0,50965,49,Good,7,385000.0
3,1.0,1.0,860.0,11725.0,0,860.0,1300.0,9514,75,Good,6,210000.0
3,2.5,2.0,1940.0,14952.0,0,1940.0,2030.0,10450,24,Fair,8,297000.0
3,1.0,1.0,1010.0,5000.0,0,1010.0,1680.0,5000,66,Fair,7,470000.0
3,1.5,1.0,1300.0,7370.0,400,900.0,1430.0,7500,42,Good,7,226500.0
3,1.0,1.0,910.0,8450.0,0,910.0,1400.0,8040,56,Good,6,274250.0
4,1.75,1.0,2480.0,11010.0,850,1630.0,2770.0,10744,52,Good,9,840000.0
3,2.5,2.0,2440.0,4587.0,0,2440.0,2750.0,4587,8,Fair,8,677900.0
3,1.0,1.0,1010.0,5864.0,0,1010.0,1290.0,5000,103,Fair,7,425000.0
2,0.75,1.0,900.0,9600.0,0,900.0,1250.0,14280,77,Fair,6,180250.0
6,3.0,2.0,2300.0,3404.0,700,1600.0,1560.0,1312,98,Fair,7,464000.0
4,2.25,2.0,1550.0,7579.0,0,1550.0,1630.0,6397,25,Fair,8,320000.0
3,2.25,2.0,1270.0,1566.0,210,1060.0,1160.0,1327,4,Fair,8,625504.0
4,2.5,1.0,2240.0,12032.0,0,2240.0,2520.0,12368,35,Fair,9,592500.0
3,2.5,2.0,2714.0,17936.0,0,2714.0,2590.0,18386,13,Fair,9,465000.0
4,2.75,2.0,1720.0,6270.0,0,1720.0,2130.0,8700,40,Fair,8,477000.0
2,1.0,1.0,850.0,16400.0,0,850.0,1100.0,14459,95,Fair,6,280000.0
5,3.0,1.0,3300.0,33474.0,1430,1870.0,3836.0,20953,61,Fair,9,1510000.0
3,2.5,2.0,2250.0,5692.0,0,2250.0,1320.0,5390,18,Fair,8,445838.0
2,2.25,1.0,3900.0,14864.0,1950,1950.0,2580.0,5184,71,Fair,8,1070000.0
2,1.5,1.0,1320.0,10800.0,0,1320.0,2120.0,12040,71,Good,8,467000.0
4,2.5,2.0,2760.0,6440.0,0,2760.0,3070.0,8127,19,Fair,10,686000.0
3,2.0,1.0,1750.0,9750.0,400,1350.0,1900.0,10125,57,Fair,7,279950.0
4,2.25,2.0,2330.0,19436.0,0,2330.0,1910.0,10055,31,Fair,8,527000.0
3,2.25,1.0,2220.0,16020.0,440,1780.0,2080.0,9583,52,Good,8,325000.0
3,2.25,2.0,2020.0,8379.0,0,2020.0,2020.0,8031,24,Fair,7,328000.0
3,2.25,1.0,1250.0,7500.0,0,1250.0,1280.0,7392,76,Excellent,7,390000.0
4,2.25,1.0,1720.0,9753.0,600,1120.0,1510.0,9753,40,Good,7,264950.0
3,1.0,1.0,1430.0,15246.0,450,980.0,1960.0,13068,57,Good,7,235000.0
3,2.5,2.0,1480.0,4729.0,0,1480.0,2250.0,4729,14,Fair,7,516500.0
2,1.75,2.0,1450.0,15798.0,220,1230.0,2030.0,13193,103,Fair,7,655000.0
4,2.75,1.0,2280.0,15347.0,0,2280.0,2280.0,15347,58,Excellent,7,500000.0
6,2.75,1.0,2940.0,7350.0,1160,1780.0,2120.0,8236,40,Fair,8,315000.0
2,1.0,1.0,1000.0,10200.0,0,1000.0,1150.0,13702,57,Fair,6,213000.0
3,1.5,1.5,2480.0,5280.0,860,1620.0,2090.0,4800,71,Excellent,7,475000.0
5,4.0,2.0,3760.0,28040.0,0,3760.0,3430.0,35096,35,Fair,10,1030000.0
3,2.0,1.0,2220.0,94300.0,580,1640.0,2070.0,80100,42,Excellent,7,416000.0
4,1.0,1.5,1970.0,4740.0,300,1670.0,1510.0,4740,114,Fair,7,410000.0
3,3.5,2.0,3830.0,221284.0,300,3530.0,2920.0,148539,25,Fair,10,800000.0
6,2.5,1.0,4410.0,14034.0,2060,2350.0,2600.0,13988,53,Good,9,472000.0
3,1.75,1.0,1430.0,8505.0,0,1430.0,1190.0,8640,50,Good,7,225000.0
2,1.0,1.0,830.0,6000.0,0,830.0,830.0,4960,78,Fair,6,210000.0
2,1.0,1.5,1430.0,5000.0,0,1430.0,1450.0,3750,93,Okay,7,455000.0
3,1.0,1.0,1300.0,8316.0,0,1300.0,1260.0,8316,64,Good,6,225000.0
2,1.0,1.0,1030.0,3060.0,240,790.0,1390.0,3060,100,Good,7,480000.0
3,2.5,2.0,2740.0,11872.0,0,2740.0,2570.0,10377,28,Fair,9,363000.0
4,2.5,1.0,3650.0,8354.0,1820,1830.0,3120.0,18841,18,Fair,9,2400000.0
2,1.5,1.0,720.0,5120.0,0,720.0,1150.0,2566,64,Fair,6,181000.0
4,2.0,1.0,2010.0,7312.0,0,2010.0,2010.0,7650,42,Good,7,250000.0
3,2.0,1.0,1810.0,7209.0,570,1240.0,1750.0,7209,40,Good,7,260000.0
4,2.5,2.0,3360.0,7685.0,0,3360.0,3060.0,6567,17,Fair,9,455000.0
3,2.25,2.0,1510.0,36224.0,0,1510.0,1730.0,36224,27,Fair,8,415000.0
3,1.0,1.0,1400.0,3538.0,600,800.0,1620.0,6331,65,Fair,7,349500.0
3,2.5,2.0,1730.0,7442.0,0,1730.0,1630.0,6458,31,Fair,7,245000.0
2,2.0,1.5,1420.0,9191.0,0,1420.0,1420.0,6816,90,Excellent,7,592500.0
4,1.75,1.0,2360.0,7620.0,1180,1180.0,1910.0,7620,63,Good,7,385000.0
3,1.75,1.0,1580.0,11455.0,380,1200.0,1550.0,10650,44,Good,7,315000.0
3,1.0,1.0,1230.0,10170.0,0,1230.0,1380.0,10098,39,Fair,7,255000.0
4,2.5,2.0,2460.0,4425.0,0,2460.0,2990.0,5659,12,Fair,8,693000.0
3,1.0,1.5,1660.0,4400.0,200,1460.0,1660.0,4400,107,Fair,8,780000.0
3,1.75,1.0,1270.0,8470.0,0,1270.0,1600.0,8470,58,Good,7,237000.0
3,2.25,2.0,2100.0,40510.0,780,1320.0,2380.0,33450,39,Fair,10,525000.0
2,1.0,1.0,770.0,5040.0,0,770.0,1330.0,2580,88,Fair,5,425000.0
1,0.75,1.0,760.0,10079.0,0,760.0,1230.0,14267,82,Excellent,5,369900.0
4,2.5,2.0,1700.0,7280.0,0,1700.0,1950.0,7475,30,Good,7,290000.0
3,1.0,1.0,1120.0,10701.0,0,1120.0,1130.0,6350,64,Fair,7,285000.0
2,1.0,1.0,1070.0,4500.0,0,1070.0,1320.0,4465,81,Fair,7,415000.0
3,2.5,1.0,2070.0,9900.0,650,1420.0,2070.0,8250,39,Fair,8,272500.0
4,3.25,1.5,5050.0,20100.0,300,4750.0,3890.0,20060,36,Fair,10,2900000.0
4,4.75,2.0,5310.0,57346.0,0,5310.0,4180.0,47443,29,Good,10,1370000.0
2,1.0,1.0,1040.0,7538.0,0,1040.0,1440.0,7530,79,Good,7,436000.0
3,1.0,1.0,1700.0,11390.0,0,1700.0,1350.0,8164,51,Good,7,210000.0
3,1.0,1.0,1300.0,5898.0,0,1300.0,1320.0,7619,57,Fair,7,236000.0
3,1.75,1.0,1080.0,1306.0,500,580.0,1440.0,2225,64,Fair,7,331000.0
3,2.0,1.0,2290.0,16258.0,0,2290.0,1660.0,10530,58,Excellent,8,450000.0
4,2.75,2.0,3820.0,26300.0,970,2850.0,1860.0,12136,4,Fair,9,770000.0
4,2.5,1.0,2210.0,49375.0,0,2210.0,2670.0,49385,21,Fair,8,455000.0
3,1.75,1.0,2390.0,6000.0,1150,1240.0,2020.0,6000,110,Fair,6,405000.0
4,1.75,1.0,2600.0,11325.0,990,1610.0,1720.0,11088,49,Good,7,304900.0
2,1.0,1.0,860.0,5265.0,0,860.0,1650.0,8775,87,Fair,6,170000.0
5,3.0,2.0,3830.0,8480.0,1200,2630.0,3050.0,7556,113,Excellent,9,2050000.0
4,2.5,2.0,3500.0,7048.0,0,3500.0,3920.0,7864,13,Fair,9,780000.0
3,3.0,1.0,2420.0,13959.0,680,1740.0,2570.0,13300,30,Good,8,330000.0
4,2.5,2.0,2720.0,8666.0,0,2720.0,2410.0,8100,26,Fair,9,370000.0
5,2.25,1.0,2500.0,13500.0,650,1850.0,2300.0,9750,39,Fair,7,467000.0
3,1.75,1.0,1670.0,6720.0,530,1140.0,1670.0,7320,38,Fair,7,405000.0
5,2.25,1.0,2900.0,10300.0,1450,1450.0,2310.0,10300,33,Fair,8,675000.0
2,1.0,1.0,1640.0,14100.0,500,1140.0,1520.0,13527,64,Good,7,500000.0
4,2.5,2.0,1890.0,15770.0,0,1890.0,2410.0,15256,50,Good,7,389999.0
4,1.75,1.0,2950.0,9025.0,1170,1780.0,2120.0,9600,43,Good,8,630000.0
